dyPerOne,dy,poolb0,poolb1
493404061171795776,497319293575341040077,30225509447269382142938,640301786005592464122513
485584642250106400,489496887469202680904,29735914621247264455496,641301786005592464122513
477775918304801770,481682340143561305384,29254135906085667223481,642301786005592464122513
469983523496701584,473881306633210662650,28780159785265455118122,643301786005592464122513
462213033463769583,466099393527305582891,28313967134556571442878,644301786005592464122513
454469945605627637,458342138994659725540,27855533290452068848246,645301786005592464122513
446759660019193823,450614993380550595643,27404828138009217222072,646301786005592464122513
439087461236282518,442923300530905749700,26961816217370162031446,647301786005592464122513
431458500902215863,435272279988982501045,26526456848089465048108,648301786005592464122513
423877781520882944,427667010196929257348,26098704270263444768500,649301786005592464122513
416350141376550806,420112412820217952040,25678507801338220770452,650301786005592464122513
408880240726410661,412613238297182642921,25265812007371110720040,651301786005592464122512
401472549340679919,405174052699128716702,24860556887434547203675,652301786005592464122512
394131335449427534,397799225969040128590,24462678069783640520438,653301786005592464122512
386860656137493510,390492921589158817619,24072107018358229370123,654301786005592464122512
379664349211266237,383259087709981529007,23688771248157709629526,655301786005592464122512
372546026543974209,376101449755837150006,23312594548011765269206,656301786005592464122512
365509068889822769,369023504505468797187,22943497209271701540287,657301786005592464122512
358556622142008328,362028515630213481201,22581396258964491217654,658301786005592464122512
351691594995579107,355119510657675292438,22226205695983755165854,659301786005592464122512
344916657963448553,348299279315412329724,21877836728937387371479,660301786005592464122512
338234243682728400,341570373197247448261,21536198014328935992156,661301786005592464122512
331646548439013459,334935106684470211366,21201195893817598139692,662301786005592464122512
325155534828360108,328395559045482555349,20872734629378148901159,663301786005592464122512
318762935470457266,321953577630374647109,20550716635265655331552,664301786005592464122512
312470257681860441,315610782071485075133,20235042705778789807225,665301786005592464122512
306278789015084100,309368569397153431012,19925612237908367638032,666301786005592464122512
300189603567737428,303228119963538226534,19622323448052879924058,667301786005592464122512
294203568965635256,297190404108450570804,19325073582078861435973,668301786005592464122511
288321353924795402,291256189431527495658,19033759118099628552661,669301786005592464122511
282543436299310722,285426048606608243421,18748275961440077810592,670301786005592464122511
276870111525117041,279700367634743381689,18468519631346824076086,671301786005592464122511
271301501373522405,274079354449716902249,18194385439091094825518,672301786005592464122511
265837562932875669,268563047792151411466,17925768657195743703886,673301786005592464122511
260478097741793952,263151326273054699350,17662564679596904079627,674301786005592464122511
255222761002806834,257843917552916446790,17404669172624709338230,675301786005592464122511
250071070810986520,252640407568048448238,17151978216755826946726,676301786005592464122511
245022417338004352,247540249741661909513,16904388439153072267724,677301786005592464122511
240076071917982959,242542774123083388344,16661797137063977858294,678301786005592464122511
235231195987409900,237647196404430698276,16424102392200882808138,679301786005592464122511
230486849837164957,232852626769917577859,16191203176269946839408,680301786005592464122511
225842001140323443,228158078538659231024,15962999447855629613340,681301786005592464122511
221295533224777530,223562476567349923462,15739392240900811232511,682301786005592464122511
216846253064823752,219064665384429985936,15520283745051118255382,683301786005592464122511
212492898970664250,214663417032314812800,15305577378155451638898,684301786005592464122511
208234147959238714,210357438598894581099,15095177851233508059284,685301786005592464122511
204068622793928040,206145379423811204771,14888991226235582446509,686301786005592464122510
199994898684441949,202025837968967181805,14686924966930487019970,687301786005592464122510
196011509641619894,197997368346315149332,14488887983264374688736,688301786005592464122510
192116954484941975,194058486499218768384,14294790669536964800151,689301786005592464122510
188309702503272955,190207676036571679215,14104544936742482642409,690301786005592464122510
184588198771760640,186443393721422492960,13918064239420875791208,691301786005592464122510
180950869129895107,182764074618094205657,13735263597360881206559,692301786005592464122510
177396124827525347,179168136903722662434,13556059612490591172644,693301786005592464122510
173922366847143995,175653986351789241866,13380370481283589487953,694301786005592464122510
170527989912009055,172220020496607501842,13208116002999767778928,695301786005592464122510
167211386190694661,168864632488862581957,13039217584069830994774,696301786005592464122510
163970948709471603,165586214653216423339,12873598238921485876673,697301786005592464122510
160805074484533084,162383161759701974903,12711182587533580680087,698301786005592464122510
157712167386521892,159253874021155726439,12551896849992212637577,699301786005592464122510
154690640750101076,156196759829299708457,12395668838310205986402,700301786005592464122510
151738919741459417,153210238242300241941,12242427945758533535530,701301786005592464122510
148855443496672878,150292741236718931103,12092105133945336669467,702301786005592464122510
146038667043769655,147442715736748298446,11944632917865303707496,703301786005592464122510
143287063021184450,144658625433505535591,11799945349129390507733,704301786005592464122509
140599123205050758,141938952406957366380,11657977997572291693301,705301786005592464122509
137973359857480835,139282198562780073629,11518667931422764364756,706301786005592464122509
135408306907632853,136686886896133226357,11381953696209925229391,707301786005592464122509
132902520976973804,134151562593954305999,11247775292567032557185,708301786005592464122509
130454582259724023,131674793986973904086,11116074153083062459841,709301786005592464122509
128063095269022850,129255173362216030749,10986793118341622296233,710301786005592464122509
125726689458892098,126891317646292918641,10859876412276432560282,711301786005592464122509
